epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.379,1.71077,2.46311,1.83268,0.00853,0.86111,0.08294,0.01833,2.61518,3.97555,3.63204,0.08614,0.00014,0.00014
2,72.5934,1.62015,2.2259,1.68257,0.00846,0.97222,0.29143,0.13298,1.88704,3.26225,2.21702,0.0712326,0.00023258,0.00023258
3,106.821,1.44385,2.10835,1.60227,0.00872,0.97222,0.38928,0.17322,1.51299,2.84048,1.88695,0.0562658,0.00026576,0.00026576
4,142.818,1.41749,1.95809,1.52417,0.01386,0.95455,0.42928,0.1677,1.621,2.75061,1.91022,0.0412395,0.00023954,0.00023954
5,177.497,1.3226,1.80465,1.45609,0.09133,0.97222,0.51471,0.21063,1.46454,2.51394,1.73515,0.0261539,0.00015392,0.00015392
