epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,920.249,1.28433,1.28234,1.42789,0.89286,0.88131,0.89945,0.45082,1.51021,1.11298,1.61726,0.000983666,0.000983666,0.000983666
43,941.175,1.20824,1.21606,1.38647,0.81897,0.82576,0.86855,0.52981,1.38647,1.10092,1.4904,0.000982864,0.000982864,0.000982864
44,962.263,1.28355,1.34157,1.42732,0.86175,0.82546,0.82759,0.48822,1.42883,1.20603,1.52103,0.000982043,0.000982043,0.000982043
45,983.378,1.27517,1.18676,1.39851,0.79687,0.82576,0.83714,0.4389,1.56749,1.22088,1.66474,0.000981204,0.000981204,0.000981204
46,1004.24,1.14398,1.20823,1.3304,0.86308,0.81566,0.87479,0.50269,1.48851,1.15938,1.59521,0.000980345,0.000980345,0.000980345
47,1025.34,1.18979,1.10154,1.35826,0.80209,0.86111,0.86192,0.5358,1.36703,1.28035,1.49833,0.000979468,0.000979468,0.000979468
48,1046.7,1.1452,1.12915,1.34877,0.77756,0.72148,0.8184,0.51316,1.29699,1.44295,1.46264,0.000978572,0.000978572,0.000978572
49,1067.81,1.26996,1.21826,1.40009,0.69165,0.7694,0.80316,0.4883,1.43585,1.83491,1.62787,0.000977658,0.000977658,0.000977658
50,1088.73,1.22236,1.15852,1.39136,0.79741,0.81374,0.85052,0.50215,1.40961,1.3952,1.55469,0.000976725,0.000976725,0.000976725
51,1109.88,1.2234,1.15563,1.41863,0.83168,0.80608,0.87658,0.53068,1.39544,1.16804,1.49198,0.000975773,0.000975773,0.000975773
52,1130.87,1.16877,1.09678,1.33076,0.77106,0.74744,0.82792,0.50219,1.32252,1.19359,1.42753,0.000974803,0.000974803,0.000974803
53,1151.83,1.24697,1.20032,1.39581,0.82387,0.7803,0.80661,0.53496,1.18147,1.21981,1.33732,0.000973814,0.000973814,0.000973814
54,1172.7,1.12034,1.08093,1.34881,0.90336,0.76196,0.88156,0.51588,1.40184,1.15113,1.50265,0.000972806,0.000972806,0.000972806
55,1193.7,1.22545,1.20961,1.39715,0.8814,0.86764,0.90417,0.49042,1.51572,1.29616,1.65259,0.00097178,0.00097178,0.00097178
56,1214.96,1.22222,1.18969,1.38287,0.78944,0.86111,0.87552,0.56228,1.29862,1.26147,1.43299,0.000970736,0.000970736,0.000970736
57,1236.25,1.18267,1.12794,1.35623,0.74771,0.83795,0.87538,0.55843,1.28261,1.27759,1.40138,0.000969673,0.000969673,0.000969673
58,1257.5,1.20303,1.1588,1.35298,0.77189,0.74303,0.85439,0.50646,1.36357,1.22719,1.51307,0.000968592,0.000968592,0.000968592
59,1278.45,1.20785,1.10207,1.3492,0.60972,0.89899,0.80208,0.43237,1.44217,1.22622,1.55836,0.000967493,0.000967493,0.000967493
60,1299.39,1.21375,1.08601,1.36663,0.77441,0.82267,0.84066,0.53786,1.18818,1.16569,1.33352,0.000966375,0.000966375,0.000966375
61,1320.63,1.23047,1.19078,1.43103,0.86453,0.83001,0.87367,0.61548,1.13446,1.13371,1.31009,0.000965239,0.000965239,0.000965239
62,1341.81,1.2836,1.18631,1.447,0.89556,0.74242,0.89123,0.55943,1.27373,1.1709,1.44452,0.000964085,0.000964085,0.000964085
63,1362.56,1.14311,1.07433,1.33343,0.79682,0.83205,0.88038,0.52539,1.38655,1.23958,1.55449,0.000962913,0.000962913,0.000962913
64,1383.57,1.16858,1.06747,1.35376,0.7935,0.75843,0.84802,0.46744,1.53161,1.29008,1.64908,0.000961723,0.000961723,0.000961723
65,1405.06,1.14009,1.01034,1.35656,0.71959,0.81566,0.82251,0.51178,1.42947,1.18024,1.49674,0.000960515,0.000960515,0.000960515
66,1426.13,1.12553,1.06787,1.35745,0.61922,0.94444,0.82108,0.51099,1.31306,1.12846,1.41932,0.000959289,0.000959289,0.000959289
67,1447.07,1.18528,1.14023,1.36206,0.58357,0.83586,0.83747,0.4704,1.37694,1.1335,1.48294,0.000958044,0.000958044,0.000958044
68,1468.11,1.147,1.09404,1.33922,0.67589,0.74443,0.81666,0.44444,1.38439,1.13501,1.51565,0.000956782,0.000956782,0.000956782
69,1489.05,1.20206,1.05301,1.37095,0.61334,0.92503,0.83247,0.46304,1.456,1.16634,1.57713,0.000955502,0.000955502,0.000955502
70,1510.05,1.06997,0.99399,1.28099,0.86886,0.71043,0.85923,0.51409,1.30649,1.27867,1.41041,0.000954205,0.000954205,0.000954205
71,1530.91,1.09696,1.05866,1.33708,0.8682,0.69019,0.85312,0.51454,1.28291,1.41327,1.37786,0.000952889,0.000952889,0.000952889
72,1551.92,1.13521,1.04179,1.33652,0.86779,0.70857,0.84927,0.51768,1.37411,1.35894,1.50997,0.000951556,0.000951556,0.000951556
73,1572.88,1.1218,1.04915,1.32629,0.87222,0.77686,0.84324,0.47276,1.43161,1.30986,1.57873,0.000950206,0.000950206,0.000950206
74,1594.41,1.22863,1.03257,1.39908,0.66864,0.76263,0.73247,0.38961,1.48745,1.29153,1.62185,0.000948837,0.000948837,0.000948837
75,1615.35,1.14963,1.0576,1.34331,0.72499,0.79893,0.77472,0.43026,1.40458,1.14671,1.55142,0.000947452,0.000947452,0.000947452
76,1636.46,1.15521,1.0063,1.33357,0.78172,0.83535,0.85795,0.51266,1.47935,1.08577,1.61288,0.000946048,0.000946048,0.000946048
77,1657.53,1.21004,1.04595,1.39064,0.74839,0.90413,0.88937,0.46451,1.63536,1.1576,1.78721,0.000944628,0.000944628,0.000944628
78,1678.77,1.11092,1.0089,1.32239,0.8926,0.81566,0.91908,0.50175,1.59976,1.07153,1.71195,0.000943189,0.000943189,0.000943189
79,1700.09,1.09442,0.98631,1.30235,0.82926,0.90765,0.92745,0.51966,1.53028,0.95595,1.61145,0.000941734,0.000941734,0.000941734
80,1720.98,1.16511,1.02894,1.34369,0.83022,0.88409,0.91272,0.5401,1.39325,0.97099,1.52128,0.000940262,0.000940262,0.000940262
81,1742.08,1.16655,1.02361,1.34187,0.8314,0.70707,0.81917,0.4364,1.42981,1.16721,1.58198,0.000938772,0.000938772,0.000938772
82,1763.48,1.15915,1.05641,1.32093,0.84165,0.6589,0.78844,0.41686,1.53604,1.32367,1.6873,0.000937265,0.000937265,0.000937265
83,1784.54,1.15491,0.99234,1.32019,0.69119,0.69435,0.79316,0.51168,1.31815,1.32808,1.44434,0.000935741,0.000935741,0.000935741
84,1805.58,1.15081,1.06986,1.34919,0.70451,0.67929,0.80485,0.53323,1.2627,1.30942,1.38456,0.0009342,0.0009342,0.0009342
85,1826.77,1.19403,1.03931,1.38315,0.6097,0.8549,0.79673,0.49584,1.31288,1.14252,1.44621,0.000932642,0.000932642,0.000932642
86,1848.31,1.15882,0.97511,1.33908,0.77771,0.75316,0.84891,0.48976,1.48964,1.06087,1.60185,0.000931067,0.000931067,0.000931067
