epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.978,1.61065,3.06071,2.01622,0.00352,0.97222,0.28773,0.14098,1.11795,3.72873,2.04857,0.00011669,0.00011669,0.00011669
2,219.783,1.2162,2.63076,1.669,0.00353,1,0.45298,0.25416,1.07707,3.59638,1.87015,0.000245099,0.000245099,0.000245099
3,289.166,1.24374,2.043,1.65359,0.00354,1,0.51619,0.28918,1.10927,3.42957,1.8019,0.000368227,0.000368227,0.000368227
4,354.474,1.09501,1.84715,1.55782,0.85792,0.13636,0.63446,0.39719,1.06895,3.15646,1.86006,0.000486074,0.000486074,0.000486074
5,417.231,1.23749,1.82443,1.70064,0.73783,0.33052,0.69683,0.42114,1.15106,3.0112,1.92379,0.00059864,0.00059864,0.00059864
6,480.225,1.16996,1.76815,1.63329,0.66556,0.24375,0.46251,0.2362,1.32032,3.09454,2.136,0.000705924,0.000705924,0.000705924
7,550.006,1.1857,1.58286,1.57577,0.62166,0.6665,0.61925,0.35777,1.27975,2.95399,2.17911,0.000807928,0.000807928,0.000807928
8,613.441,1.13536,1.42316,1.49655,0.63402,0.5303,0.48345,0.23745,1.44956,3.30706,2.44394,0.000904651,0.000904651,0.000904651
9,675.054,1.13111,1.45354,1.49856,0.60641,0.73232,0.70378,0.38709,1.36658,3.14662,2.35261,0.000996093,0.000996093,0.000996093
10,736.408,1.21236,1.3207,1.48711,0.45937,0.63131,0.47579,0.25348,1.30549,3.57776,2.21824,0.00108225,0.00108225,0.00108225
11,798.152,1.16272,1.38744,1.51667,0.5951,0.39141,0.28839,0.14417,1.38454,3.89988,2.51732,0.00116313,0.00116313,0.00116313
12,862.848,1.06942,1.33797,1.45168,0.59141,0.5303,0.4052,0.2483,1.35286,3.1615,2.23798,0.00123873,0.00123873,0.00123873
13,924.745,1.09201,1.3457,1.50426,0.64696,0.52273,0.58269,0.31787,1.35578,3.29124,2.22949,0.00127092,0.00127092,0.00127092
14,985.676,1.0694,1.26969,1.4332,0.50738,0.56818,0.49399,0.2248,1.44208,3.21629,2.20197,0.00123791,0.00123791,0.00123791
15,1047.95,1.05625,1.2182,1.48218,0.28313,0.34848,0.21578,0.11539,1.58923,3.41635,2.39026,0.00120491,0.00120491,0.00120491
16,1110.61,1.03873,1.26326,1.48141,0.56609,0.35859,0.36219,0.15082,1.61978,3.00573,2.51859,0.0011719,0.0011719,0.0011719
17,1171.89,1.15036,1.40961,1.57119,0.74582,0.57678,0.57242,0.30625,1.63202,2.54855,2.44435,0.00113889,0.00113889,0.00113889
18,1235.68,1.14182,1.19612,1.53037,0.47165,0.63889,0.56346,0.23196,1.77551,2.94527,2.47108,0.00110589,0.00110589,0.00110589
19,1314.56,1.01452,1.10341,1.41965,0.73085,0.5404,0.62756,0.3573,1.42334,2.65222,2.09883,0.00107288,0.00107288,0.00107288
20,1391.84,0.99782,0.96929,1.36535,0.70464,0.62374,0.63693,0.35584,1.37607,2.53027,2.07876,0.00103987,0.00103987,0.00103987
21,1459.13,1.02972,1.08418,1.38922,0.61668,0.63015,0.54577,0.33168,1.40385,2.83216,2.12227,0.00100687,0.00100687,0.00100687
22,1520.96,0.95107,1.10524,1.3542,0.67555,0.54999,0.48225,0.33221,1.21151,2.95878,1.97109,0.000973861,0.000973861,0.000973861
23,1581.6,0.94721,1.12786,1.32716,0.65132,0.61364,0.58116,0.38537,1.1894,2.40511,1.91278,0.000940855,0.000940855,0.000940855
24,1645.85,1.06256,1.04424,1.43883,0.79497,0.66445,0.79863,0.50114,1.30934,2.07234,2.02569,0.000907848,0.000907848,0.000907848
25,1706.71,1.06409,1.02256,1.39118,0.88288,0.69937,0.81338,0.51917,1.2955,2.00344,2.01376,0.000874842,0.000874842,0.000874842
26,1773.8,0.99245,1.03207,1.35604,0.78032,0.69659,0.68617,0.44222,1.3101,2.03068,2.02394,0.000841835,0.000841835,0.000841835
27,1834.77,0.98483,1.01935,1.39112,0.80465,0.63131,0.69175,0.45473,1.32123,2.11242,2.01147,0.000808828,0.000808828,0.000808828
28,1895.76,0.88765,0.87285,1.29453,0.69065,0.66887,0.68912,0.40461,1.38564,2.22384,2.07797,0.000775822,0.000775822,0.000775822
29,1956.53,0.92766,0.86953,1.33641,0.68154,0.7398,0.68593,0.43228,1.25695,2.09901,1.94817,0.000742815,0.000742815,0.000742815
30,2018.3,0.92986,0.88382,1.37791,0.66729,0.65909,0.7473,0.48628,1.18039,2.00009,1.85667,0.000709809,0.000709809,0.000709809
31,2079.4,0.87564,0.91692,1.29181,0.83513,0.80869,0.86527,0.56461,1.28758,1.57346,1.96184,0.000676802,0.000676802,0.000676802
32,2143.18,0.9502,0.88483,1.36363,0.82692,0.84507,0.85775,0.56974,1.20552,1.55102,1.83188,0.000643795,0.000643795,0.000643795
33,2204.66,0.8696,0.82203,1.25737,0.76331,0.72556,0.76194,0.52312,1.17884,1.57346,1.82694,0.000610789,0.000610789,0.000610789
34,2270.55,0.84563,1.36701,1.31326,0.69603,0.84343,0.76661,0.50623,1.24888,1.63648,1.94934,0.000577782,0.000577782,0.000577782
35,2331.38,0.91824,0.94933,1.43029,0.67968,0.83637,0.75624,0.47165,1.26397,2.00097,1.98994,0.000544776,0.000544776,0.000544776
36,2391.72,0.88192,0.88074,1.30421,0.7462,0.74786,0.80505,0.52363,1.17583,1.89536,1.82679,0.000511769,0.000511769,0.000511769
37,2453.1,0.78393,0.76404,1.22683,0.76339,0.89405,0.90045,0.66171,1.01914,1.35493,1.69128,0.000478762,0.000478762,0.000478762
38,2513.83,0.79158,0.83607,1.22452,0.77748,0.90535,0.88898,0.6375,1.04336,1.2148,1.69714,0.000445756,0.000445756,0.000445756
39,2574.71,0.82621,0.7923,1.27472,0.8329,0.86972,0.90251,0.65497,1.06119,1.17305,1.69845,0.000412749,0.000412749,0.000412749
40,2635.51,0.85102,0.73455,1.26727,0.86389,0.81932,0.91843,0.66533,1.05618,1.16887,1.68812,0.000379743,0.000379743,0.000379743
41,2697.28,0.9926,1.49399,1.59189,0.88421,0.86826,0.94261,0.67573,1.07518,1.18215,1.71806,0.000346736,0.000346736,0.000346736
42,2757.55,0.70193,0.8925,1.25814,0.96692,0.80108,0.93627,0.65861,1.11305,1.34194,1.76328,0.000313729,0.000313729,0.000313729
43,2820.86,0.6534,0.89021,1.22766,0.84395,0.89199,0.89811,0.65671,1.05341,1.30478,1.6869,0.000280723,0.000280723,0.000280723
