epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9449,1.71077,2.46311,1.83268,0.00853,0.86111,0.08294,0.01833,2.61518,3.97555,3.63204,0.08614,0.00014,0.00014
2,62.8217,1.6035,2.2187,1.6748,0.00884,0.94444,0.24734,0.08058,2.11588,3.31477,2.55511,0.0712894,0.000289426,0.000289426
3,88.5566,1.43598,2.09369,1.6095,0.0089,0.97222,0.34292,0.10672,1.73836,3.00169,2.20644,0.0564383,0.000438258,0.000438258
4,114.213,1.45405,1.91649,1.55653,0.03162,0.97222,0.44269,0.25511,1.17739,2.53056,1.47304,0.0415865,0.000586495,0.000586495
5,142.641,1.34836,1.73688,1.49617,0.71683,0.47058,0.56018,0.31855,1.14558,2.39011,1.48331,0.0267341,0.000734139,0.000734139
6,168.283,1.37179,1.71001,1.56105,0.56026,0.50253,0.47525,0.17817,1.68964,2.51781,2.12757,0.0118812,0.000881189,0.000881189
7,193.973,1.48939,1.67379,1.57148,0.61082,0.48438,0.57394,0.29105,1.51278,2.21724,1.85926,0.00098812,0.00098812,0.00098812
8,220.019,1.43863,1.62663,1.57588,0.46439,0.72207,0.55683,0.30075,1.43395,2.20146,1.71001,0.00098614,0.00098614,0.00098614
9,245.663,1.36611,1.55736,1.5112,0.51296,0.6299,0.51244,0.30383,1.31386,2.48198,1.65091,0.00098416,0.00098416,0.00098416
10,271.379,1.3744,1.56375,1.55823,0.659,0.61965,0.59507,0.24956,1.6715,2.3499,2.05818,0.00098218,0.00098218,0.00098218
11,297.007,1.48319,1.58088,1.58825,0.64214,0.59545,0.63981,0.36735,1.39102,2.26499,1.6371,0.0009802,0.0009802,0.0009802
12,322.787,1.48018,1.60452,1.58894,0.59774,0.6963,0.60815,0.37732,1.25473,2.35421,1.50964,0.00097822,0.00097822,0.00097822
13,348.346,1.3774,1.48847,1.51387,0.69006,0.71625,0.67476,0.35105,1.57381,2.22923,1.78093,0.00097624,0.00097624,0.00097624
14,373.759,1.36799,1.45353,1.51803,0.66303,0.73232,0.63675,0.33834,1.52155,2.09963,1.72717,0.00097426,0.00097426,0.00097426
15,403.042,1.35663,1.46408,1.49194,0.70976,0.56818,0.66882,0.37523,1.38577,1.92245,1.6322,0.00097228,0.00097228,0.00097228
16,430.497,1.30616,1.45652,1.47838,0.63856,0.59596,0.65233,0.34233,1.46756,2.02932,1.64875,0.0009703,0.0009703,0.0009703
17,536.038,1.46484,1.52739,1.54845,0.81258,0.54326,0.71947,0.38871,1.45555,1.76112,1.70143,0.00096832,0.00096832,0.00096832
18,650.349,1.40741,1.39586,1.52909,0.85801,0.56389,0.74462,0.42608,1.44025,1.81663,1.68014,0.00096634,0.00096634,0.00096634
19,760.257,1.42795,1.38867,1.58912,0.73325,0.69955,0.71389,0.46818,1.23621,2.01667,1.48637,0.00096436,0.00096436,0.00096436
20,871.861,1.41741,1.36683,1.53754,0.80066,0.68995,0.7091,0.41473,1.43592,2.20185,1.66546,0.00096238,0.00096238,0.00096238
21,983.683,1.38789,1.38901,1.51084,0.63972,0.67677,0.67343,0.35878,1.56515,2.31702,1.8064,0.0009604,0.0009604,0.0009604
22,1097.34,1.31364,1.38506,1.48256,0.6955,0.70455,0.70091,0.36423,1.45227,2.27409,1.6712,0.00095842,0.00095842,0.00095842
23,1210.36,1.2738,1.31192,1.44614,0.63892,0.71465,0.72219,0.45197,1.23131,2.13079,1.45166,0.00095644,0.00095644,0.00095644
24,1316.74,1.2726,1.29737,1.42054,0.59976,0.79602,0.73111,0.46241,1.18844,2.09318,1.41949,0.00095446,0.00095446,0.00095446
25,1424.96,1.28134,1.31342,1.43462,0.81327,0.73889,0.75116,0.39968,1.4803,1.95546,1.6772,0.00095248,0.00095248,0.00095248
26,1529.37,1.22002,1.23407,1.39976,0.78629,0.81335,0.81259,0.4262,1.50046,1.90491,1.73536,0.0009505,0.0009505,0.0009505
27,1635.22,1.25375,1.44985,1.47292,0.92059,0.68687,0.84535,0.472,1.45972,1.82689,1.70789,0.00094852,0.00094852,0.00094852
28,1739.97,1.2461,1.35555,1.42814,0.70685,0.78417,0.8312,0.46641,1.43913,1.60193,1.68678,0.00094654,0.00094654,0.00094654
29,1846.58,1.31638,1.34904,1.47833,0.83923,0.77578,0.87916,0.44721,1.51753,1.59943,1.76775,0.00094456,0.00094456,0.00094456
30,1953.58,1.2928,1.20747,1.44784,0.82359,0.77484,0.84745,0.43769,1.45338,1.55583,1.72398,0.00094258,0.00094258,0.00094258
31,2058.06,1.22112,1.17862,1.44239,0.85061,0.78106,0.83419,0.46529,1.34134,1.39153,1.69238,0.0009406,0.0009406,0.0009406
32,2164.81,1.30103,1.21401,1.45647,0.73549,0.86564,0.81357,0.45714,1.32176,1.28458,1.59492,0.00093862,0.00093862,0.00093862
33,2272.69,1.32197,1.28923,1.44951,0.79755,0.76547,0.84463,0.50729,1.32303,1.30841,1.55291,0.00093664,0.00093664,0.00093664
34,2379.1,1.27572,1.26272,1.41492,0.70839,0.84664,0.78743,0.43224,1.45754,1.46815,1.6284,0.00093466,0.00093466,0.00093466
35,2487.6,1.29098,1.16274,1.46316,0.75567,0.76697,0.7478,0.38484,1.55372,1.7265,1.79482,0.00093268,0.00093268,0.00093268
36,2591.92,1.23614,1.16044,1.42221,0.76713,0.77778,0.74714,0.44464,1.4051,1.59633,1.64341,0.0009307,0.0009307,0.0009307
37,2697.9,1.30981,1.17398,1.46064,0.65252,0.7475,0.60101,0.35051,1.36749,1.78513,1.60158,0.00092872,0.00092872,0.00092872
38,2802.65,1.2062,1.08804,1.41556,0.54255,0.64394,0.52925,0.30664,1.38646,1.88999,1.62543,0.00092674,0.00092674,0.00092674
39,2908.35,1.18266,1.08931,1.38256,0.49629,0.62626,0.4018,0.21953,1.58154,2.01747,1.88962,0.00092476,0.00092476,0.00092476
40,3012.57,1.22781,1.19476,1.38611,0.62702,0.66162,0.6332,0.38837,1.44814,1.71558,1.72229,0.00092278,0.00092278,0.00092278
41,3118.98,1.18112,1.09976,1.37224,0.93725,0.62359,0.75645,0.47717,1.272,1.4877,1.51244,0.0009208,0.0009208,0.0009208
42,3225.42,1.28498,1.18143,1.4441,0.868,0.6656,0.77515,0.42132,1.43214,1.49609,1.66297,0.00091882,0.00091882,0.00091882
43,3338.46,1.11103,1.04756,1.32854,0.70123,0.76342,0.83936,0.48197,1.37728,1.45013,1.58588,0.00091684,0.00091684,0.00091684
44,3455.05,1.20214,1.14353,1.37392,0.78901,0.70876,0.79603,0.49713,1.28817,1.45348,1.46055,0.00091486,0.00091486,0.00091486
45,3569.33,1.20251,1.02818,1.41298,0.71653,0.80556,0.76314,0.49204,1.25687,1.50307,1.47948,0.00091288,0.00091288,0.00091288
46,3684.58,1.17319,1.06433,1.35626,0.67779,0.77778,0.71983,0.45198,1.3164,1.54173,1.5647,0.0009109,0.0009109,0.0009109
47,3800.37,1.22022,1.09508,1.40455,0.79554,0.7241,0.71862,0.48013,1.23258,1.43514,1.52152,0.00090892,0.00090892,0.00090892
48,3914.13,1.15724,1.08616,1.3468,0.71033,0.66919,0.66984,0.43874,1.31624,1.53894,1.51544,0.00090694,0.00090694,0.00090694
49,4030.26,1.21892,1.09968,1.3859,0.67486,0.72475,0.69712,0.4444,1.36322,1.4503,1.62012,0.00090496,0.00090496,0.00090496
50,4146.68,1.23779,1.11178,1.43527,0.74154,0.79565,0.72988,0.45064,1.33939,1.30506,1.60451,0.00090298,0.00090298,0.00090298
51,4260.94,1.12889,1.01047,1.33625,0.69008,0.90977,0.8004,0.45951,1.4185,1.31046,1.64452,0.000901,0.000901,0.000901
52,4376.57,1.12381,1.0316,1.33958,0.71952,0.70455,0.75682,0.46747,1.28434,1.36398,1.4779,0.00089902,0.00089902,0.00089902
53,4490.76,1.17949,1.0536,1.34836,0.7283,0.68687,0.73867,0.4626,1.24845,1.33843,1.42574,0.00089704,0.00089704,0.00089704
54,4605.57,1.16668,1.00372,1.33838,0.66173,0.72021,0.71994,0.45969,1.26001,1.34442,1.44435,0.00089506,0.00089506,0.00089506
55,4721.55,1.14982,1.13355,1.35228,0.68124,0.71427,0.74151,0.44455,1.31794,1.34256,1.51472,0.00089308,0.00089308,0.00089308
56,4836.57,1.11947,0.98001,1.3488,0.59295,0.80232,0.68062,0.382,1.41448,1.40156,1.65882,0.0008911,0.0008911,0.0008911
57,4953.43,1.09692,0.98918,1.3381,0.5676,0.8233,0.71199,0.37921,1.51,1.37347,1.77727,0.00088912,0.00088912,0.00088912
58,5069.45,1.17363,1.05519,1.38182,0.67115,0.75575,0.73994,0.4536,1.34001,1.39703,1.57289,0.00088714,0.00088714,0.00088714
